antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"morcovi, rosii in bulion",carne,0.06614785992217899,0.11932555123216602,0.06614785992217899,1.0,8.380434782608695,1.0,0.05825473007413688,inf,0.9430555555555556,0.5543478260869565,1.0,0.7771739130434783
"ceapa, rosii in bulion",carne,0.06614785992217899,0.11932555123216602,0.06614785992217899,1.0,8.380434782608695,1.0,0.05825473007413688,inf,0.9430555555555556,0.5543478260869565,1.0,0.7771739130434783
"rosii in bulion, sare",carne,0.06614785992217899,0.11932555123216602,0.06614785992217899,1.0,8.380434782608695,1.0,0.05825473007413688,inf,0.9430555555555556,0.5543478260869565,1.0,0.7771739130434783
"paine, rosii in bulion",carne,0.05966277561608301,0.11932555123216602,0.05966277561608301,1.0,8.380434782608695,1.0,0.052543482027652876,inf,0.9365517241379311,0.5000000000000001,1.0,0.75
carne,supa de oase,0.11932555123216602,0.06614785992217899,0.06614785992217899,0.5543478260869565,8.380434782608695,1.0,0.05825473007413688,2.0954730948087694,1.0000000000000002,0.5543478260869565,0.5227807971014493,0.7771739130434783
"carne, sare",supa de oase,0.11932555123216602,0.06614785992217899,0.06614785992217899,0.5543478260869565,8.380434782608695,1.0,0.05825473007413688,2.0954730948087694,1.0000000000000002,0.5543478260869565,0.5227807971014493,0.7771739130434783
carne,rosii in bulion,0.11932555123216602,0.06614785992217899,0.06614785992217899,0.5543478260869565,8.380434782608695,1.0,0.05825473007413688,2.0954730948087694,1.0000000000000002,0.5543478260869565,0.5227807971014493,0.7771739130434783
"carne, sare",rosii in bulion,0.11932555123216602,0.06614785992217899,0.06614785992217899,0.5543478260869565,8.380434782608695,1.0,0.05825473007413688,2.0954730948087694,1.0000000000000002,0.5543478260869565,0.5227807971014493,0.7771739130434783
"ardei gras, taitei",bulion de gaina,0.12062256809338522,0.07911802853437094,0.07911802853437094,0.6559139784946236,8.290322580645162,1.0,0.06957460875006939,2.6763132295719845,1.0,0.6559139784946235,0.6263516583371194,0.8279569892473118
"carne de pasare, smantana",bulion de gaina,0.13229571984435798,0.07911802853437094,0.07911802853437094,0.5980392156862745,7.5588235294117645,1.0,0.06865105199674988,2.2909746607193697,1.0,0.5980392156862745,0.5635045567522783,0.7990196078431373
"lapte, taitei",bulion de gaina,0.08819714656290532,0.07911802853437094,0.05188067444876784,0.5882352941176471,7.434908389585343,1.0,0.044902690090353796,2.2364276449879563,0.9492176386913228,0.449438202247191,0.5528583264291631,0.6219864995178399
"bors crud, orez",supa de oase,0.13748378728923477,0.06614785992217899,0.06614785992217899,0.48113207547169806,7.2735849056603765,1.0,0.057053601619000034,1.799787760877255,0.9999999999999999,0.48113207547169806,0.44437893081761004,0.7405660377358491
"bors crud, orez",rosii in bulion,0.13748378728923477,0.06614785992217899,0.06614785992217899,0.48113207547169806,7.2735849056603765,1.0,0.057053601619000034,1.799787760877255,0.9999999999999999,0.48113207547169806,0.44437893081761004,0.7405660377358491
"taitei, telina",bulion de gaina,0.13878080415045396,0.07911802853437094,0.07911802853437094,0.5700934579439252,7.205607476635514,1.0,0.06813796491157238,2.142051542322224,1.0,0.5700934579439252,0.5331578254574173,0.7850467289719626
"taitei, verdeata",bulion de gaina,0.13878080415045396,0.07911802853437094,0.07911802853437094,0.5700934579439252,7.205607476635514,1.0,0.06813796491157238,2.142051542322224,1.0,0.5700934579439252,0.5331578254574173,0.7850467289719626
"morcovi, taitei",bulion de gaina,0.14007782101167315,0.07911802853437094,0.07911802853437094,0.5648148148148148,7.138888888888888,1.0,0.06803534749453688,2.1160692110274026,1.0,0.5648148148148148,0.5274256651017214,0.7824074074074074
"ardei gras, carne de pasare",bulion de gaina,0.14137483787289234,0.07911802853437094,0.07911802853437094,0.5596330275229358,7.0733944954128445,1.0,0.06793273007750138,2.091169476869866,0.9999999999999998,0.5596330275229358,0.5217986820002584,0.7798165137614679
"ceapa, taitei",bulion de gaina,0.14267185473411154,0.07911802853437094,0.07911802853437094,0.5545454545454546,7.00909090909091,1.0,0.06783011266046587,2.0672860583922286,0.9999999999999998,0.5545454545454546,0.5162740076824583,0.7772727272727273
bulion de gaina,taitei,0.07911802853437094,0.14396887159533073,0.07911802853437094,1.0,6.9459459459459465,1.0,0.06772749524343039,inf,0.9295774647887325,0.5495495495495496,1.0,0.7747747747747749
"bulion de gaina, carne de pasare",taitei,0.07911802853437094,0.14396887159533073,0.07911802853437094,1.0,6.9459459459459465,1.0,0.06772749524343039,inf,0.9295774647887325,0.5495495495495496,1.0,0.7747747747747749
"bulion de gaina, smantana",taitei,0.07911802853437094,0.14396887159533073,0.07911802853437094,1.0,6.9459459459459465,1.0,0.06772749524343039,inf,0.9295774647887325,0.5495495495495496,1.0,0.7747747747747749
"ardei gras, bulion de gaina",taitei,0.07911802853437094,0.14396887159533073,0.07911802853437094,1.0,6.9459459459459465,1.0,0.06772749524343039,inf,0.9295774647887325,0.5495495495495496,1.0,0.7747747747747749
"bulion de gaina, telina",taitei,0.07911802853437094,0.14396887159533073,0.07911802853437094,1.0,6.9459459459459465,1.0,0.06772749524343039,inf,0.9295774647887325,0.5495495495495496,1.0,0.7747747747747749
"bulion de gaina, verdeata",taitei,0.07911802853437094,0.14396887159533073,0.07911802853437094,1.0,6.9459459459459465,1.0,0.06772749524343039,inf,0.9295774647887325,0.5495495495495496,1.0,0.7747747747747749
"bulion de gaina, morcovi",taitei,0.07911802853437094,0.14396887159533073,0.07911802853437094,1.0,6.9459459459459465,1.0,0.06772749524343039,inf,0.9295774647887325,0.5495495495495496,1.0,0.7747747747747749
"bulion de gaina, ceapa",taitei,0.07911802853437094,0.14396887159533073,0.07911802853437094,1.0,6.9459459459459465,1.0,0.06772749524343039,inf,0.9295774647887325,0.5495495495495496,1.0,0.7747747747747749
"bulion de gaina, ulei",taitei,0.07911802853437094,0.14396887159533073,0.07911802853437094,1.0,6.9459459459459465,1.0,0.06772749524343039,inf,0.9295774647887325,0.5495495495495496,1.0,0.7747747747747749
"bulion de gaina, sare",taitei,0.07911802853437094,0.14396887159533073,0.07911802853437094,1.0,6.9459459459459465,1.0,0.06772749524343039,inf,0.9295774647887325,0.5495495495495496,1.0,0.7747747747747749
"bulion de gaina, lapte",taitei,0.05188067444876784,0.14396887159533073,0.05188067444876784,1.0,6.9459459459459465,1.0,0.04441147229077402,inf,0.9028727770177838,0.3603603603603604,1.0,0.6801801801801802
"bulion de gaina, paine",taitei,0.0622568093385214,0.14396887159533073,0.0622568093385214,1.0,6.9459459459459465,1.0,0.05329376674892883,inf,0.9128630705394192,0.43243243243243246,1.0,0.7162162162162162
taitei,bulion de gaina,0.14396887159533073,0.07911802853437094,0.07911802853437094,0.5495495495495496,6.9459459459459465,1.0,0.06772749524343039,2.044357976653697,1.0,0.5495495495495496,0.5108488770460602,0.7747747747747749
"taitei, ulei",bulion de gaina,0.14396887159533073,0.07911802853437094,0.07911802853437094,0.5495495495495496,6.9459459459459465,1.0,0.06772749524343039,2.044357976653697,1.0,0.5495495495495496,0.5108488770460602,0.7747747747747749
"sare, taitei",bulion de gaina,0.14396887159533073,0.07911802853437094,0.07911802853437094,0.5495495495495496,6.9459459459459465,1.0,0.06772749524343039,2.044357976653697,1.0,0.5495495495495496,0.5108488770460602,0.7747747747747749
"carne de pasare, telina",bulion de gaina,0.14656290531776914,0.07911802853437094,0.07911802853437094,0.5398230088495575,6.823008849557522,1.0,0.06752226040935938,2.00114736106954,1.0,0.5398230088495575,0.5002866758070547,0.7699115044247787
"paine, taitei",bulion de gaina,0.11673151750972763,0.07911802853437094,0.0622568093385214,0.5333333333333333,6.740983606557378,1.0,0.05302124180532635,1.973318510283491,0.9642070484581498,0.46601941747572817,0.49323943661971825,0.6601092896174864
"condimente, paste fainoase",branza telemea,0.08949416342412451,0.12321660181582361,0.07392996108949416,0.8260869565217391,6.7043478260869565,1.0,0.06290279439002357,5.041504539559014,0.9344729344729344,0.5327102803738317,0.801646514021096,0.7130434782608696
"ardei, morcovi",dovlecel,0.13618677042801555,0.08300907911802853,0.07522697795071336,0.5523809523809524,6.654464285714287,1.0,0.06392223954942543,2.0485967381405747,0.9836905871388629,0.5225225225225225,0.511860982016569,0.7293154761904762
"ardei, verdeata",dovlecel,0.1297016861219196,0.08300907911802853,0.07133592736705577,0.5499999999999999,6.625781249999999,1.0,0.06056950984201964,2.037757601959936,0.9756130605608996,0.5045871559633026,0.5092644978783593,0.7046874999999999
