antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"apa, fasole verde",varza,0.05542168674698795,0.05748709122203098,0.033734939759036145,0.6086956521739131,10.588388440510284,1.0,0.030548908197333222,2.4086441002103656,0.95868908788005,0.4260869565217391,0.5848286594467559,0.5977609997396511
"cartofi, fasole verde",ardei gras,0.038898450946643716,0.08296041308089501,0.034079173838209985,0.8761061946902656,10.560533176660671,1.0,0.030852142279469492,7.4018195229899275,0.9419481346415444,0.3882352941176471,0.8648980839246327,0.6434472882165021
"patrunjel radacina, telina",varza,0.060240963855421686,0.05748709122203098,0.03648881239242685,0.6057142857142858,10.536526946107784,1.0,0.03302573460796715,2.390431290378907,0.9631107885824867,0.4491525423728814,0.5816654492330169,0.6202224123182207
"bors crud, cartofi",fasole verde,0.060240963855421686,0.05783132530120482,0.03648881239242685,0.6057142857142858,10.473809523809525,1.0,0.033004997615245835,2.3895582329317273,0.9625060474117078,0.4472573839662447,0.5815126050420169,0.6183333333333334
"bors crud, varza",ardei gras,0.039931153184165236,0.08296041308089501,0.03442340791738382,0.8620689655172412,10.391329231649733,1.0,0.031110702954428974,6.6485370051635035,0.9413553244890641,0.38910505836575865,0.8495909702806252,0.6385033624266704
"bors crud, cartofi",varza,0.060240963855421686,0.05748709122203098,0.03580034423407917,0.5942857142857142,10.337724550898201,1.0,0.03233726644961947,2.3230951976921768,0.9611686390532544,0.43697478991596633,0.5695398100803505,0.6085201026518391
"ceapa, fasole verde",varza,0.05679862306368331,0.05748709122203098,0.033734939759036145,0.5939393939393939,10.331700235891851,1.0,0.03046975213368843,2.321113879826341,0.9576009235811113,0.41880341880341876,0.5691723664696637,0.5903828706223915
"fasole verde, morcovi",varza,0.05679862306368331,0.05748709122203098,0.033734939759036145,0.5939393939393939,10.331700235891851,1.0,0.03046975213368843,2.321113879826341,0.9576009235811113,0.41880341880341876,0.5691723664696637,0.5903828706223915
"cartofi, telina",varza,0.060929432013769366,0.05748709122203098,0.03614457831325301,0.5932203389830508,10.319192124226124,1.0,0.03264192249697091,2.3170109007458404,0.9616883116883116,0.4393305439330544,0.5684094538881529,0.6109814269765553
"cartofi, varza",ardei gras,0.04165232358003442,0.08296041308089501,0.03545611015490534,0.8512396694214877,10.26079352559926,1.0,0.03200061618492658,6.164543889845097,0.9417684968195513,0.3976833976833978,0.837781996872906,0.6393127807688351
fasole verde,varza,0.05783132530120482,0.05748709122203098,0.033734939759036145,0.5833333333333334,10.147205588822356,1.0,0.030410385085954835,2.262030981067126,0.9567827130852341,0.4135021097046414,0.5579194058923789,0.5850798403193613
"fasole verde, sare",varza,0.05783132530120482,0.05748709122203098,0.033734939759036145,0.5833333333333334,10.147205588822356,1.0,0.030410385085954835,2.262030981067126,0.9567827130852341,0.4135021097046414,0.5579194058923789,0.5850798403193613
varza,fasole verde,0.05748709122203098,0.05783132530120482,0.033734939759036145,0.5868263473053892,10.147205588822354,1.0,0.030410385085954835,2.280321285140562,0.9564332672440782,0.4135021097046414,0.5614653046847481,0.5850798403193613
"sare, varza",fasole verde,0.05748709122203098,0.05783132530120482,0.033734939759036145,0.5868263473053892,10.147205588822354,1.0,0.030410385085954835,2.280321285140562,0.9564332672440782,0.4135021097046414,0.5614653046847481,0.5850798403193613
"ulei, varza",fasole verde,0.05748709122203098,0.05783132530120482,0.033734939759036145,0.5868263473053892,10.147205588822354,1.0,0.030410385085954835,2.280321285140562,0.9564332672440782,0.4135021097046414,0.5614653046847481,0.5850798403193613
"cartofi, patrunjel radacina",varza,0.06265060240963856,0.05748709122203098,0.03614457831325301,0.5769230769230769,10.035697835099032,1.0,0.03254297741741492,2.22775778438429,0.9605337250581466,0.430327868852459,0.5511181659830308,0.6028327959465684
"ardei gras, rosie",fasole verde,0.058519793459552494,0.05783132530120482,0.033734939759036145,0.5764705882352942,9.968137254901961,1.0,0.030350662546917446,2.2245649263721554,0.9556019848524419,0.4083333333333333,0.5504738979990974,0.5799019607843138
"patrunjel radacina, varza",ardei gras,0.04165232358003442,0.08296041308089501,0.03442340791738382,0.8264462809917354,9.961935461746853,1.0,0.030967913947405057,5.283894762724365,0.938717672413793,0.3816793893129771,0.8107456630183902,0.6206920201639174
"rosie, telina",varza,0.06746987951807229,0.05748709122203098,0.03855421686746988,0.5714285714285715,9.940119760479043,1.0,0.03467556974887502,2.199196787148595,0.9644702842377261,0.4462151394422312,0.5452885317750183,0.6210436270316511
"telina, varza",ardei gras,0.0423407917383821,0.08296041308089501,0.034079173838209985,0.8048780487804879,9.701953243598826,1.0,0.030566564265421658,4.699827882960414,0.9365836655556282,0.3735849056603774,0.7872262506408848,0.6078332152616133
"condimente, faina",pasta de rosii,0.05094664371772806,0.06471600688468158,0.03132530120481928,0.6148648648648649,9.500970385278897,1.0,0.02802823785923137,2.428456683878371,0.942779020036909,0.3714285714285715,0.5882158382158382,0.5494537090281771
